title,price,mileage,dealer_name
2001 Lexus GS 300 Base (A5),"$7,977","130,077 mi.",Roseville Toyota
2008 Lexus GS 350 Base,"$13,999","98,770 mi.",Premium Auto Sales
2014 Lexus GS 350 Base,"$24,965","42,630 mi.",Kalispell Toyota
2016 Lexus GS 350 Base,"$29,499","65,348 mi.",Nissan of Bakersfield
2016 Lexus GS 350 ,"$27,998","64,336 mi.",CarMax Bakersfield - Offering Express Pickup and Home Delivery
2006 Lexus GS 300 Base,"$5,200","191,396 mi.",
2007 Lexus GS 350 ,"$17,899","38,580 mi.",VIP Autos
2015 Lexus GS 350 Base,"$19,000","88,156 mi.",Eide Chrysler
2018 Lexus GS 350 F Sport,"$38,000","40,856 mi.",Lexus of Omaha
2017 Lexus GS 350 F Sport,"$32,990","76,042 mi.",Hendrick Lexus Kansas City
2013 Lexus GS 350 Base,"$14,950","167,050 mi.",Rockstone Automotive Inc.
2016 Lexus GS 200t 200T,"$22,987","64,720 mi.",Universal Chrysler Dodge Jeep Ram
2018 Lexus GS 350 Base,"$29,295","97,665 mi.",Sewell Lexus of Fort Worth
2018 Lexus GS 350 F Sport,"$31,988","52,987 mi.",Reserve Auto Group
2016 Lexus GS 350 F Sport,"$27,574","84,599 mi.",Crest Nissan
2019 Lexus GS 350 Base,"$31,559","57,593 mi.",Frisco Chrysler Dodge Jeep Ram
2013 Lexus GS 350 Base,"$18,495","101,476 mi.",Porsche Plano
2016 Lexus GS 350 F Sport,"$25,995","75,234 mi.",Dallas Autos Direct
2020 Lexus GS 350 F Sport,"$41,996","17,729 mi.",Vandergriff Acura
2018 Lexus GS 350 Base,"$32,995","32,431 mi.",Vandergriff Toyota
2015 Lexus GS 350 Crafted Line,"$21,999","71,962 mi.",Wells Auto Group
2016 Lexus GS 350 Base,"$30,991","39,112 mi.",Toyota of Dallas
2014 Lexus GS 350 Base,"$17,950","111,145 mi.",Midway Auto Group
2019 Lexus GS 350 Base,"$32,904","33,443 mi.",Auto Web Expo
2016 Lexus GS 350 Base,"$29,998","48,568 mi.",CarMax Texas Stadium (Irving) - Offering Express Pickup and Home Delivery
2015 Lexus GS 350 Base,"$23,343","49,383 mi.",Toyota of Richardson
2020 Lexus GS 350 F SPORT Black Line,"$44,998","28,772 mi.",Sewell Lexus of Dallas
2018 Lexus GS 350 Base,"$31,900","40,000 mi.",
2016 Lexus GS 350 F Sport,"$28,500","74,000 mi.",
2016 Lexus GS 350 Base,"$26,943","62,930 mi.",Cedar Rapids Toyota
2016 Lexus GS 350 Base,"$19,495","135,396 mi.",RossCo
2014 Lexus GS 350 Base,"$19,000","89,849 mi.",Deery Brothers Chrysler Dodge Jeep Ram of Iowa City
2015 Lexus GS 350 ,"$24,858","43,440 mi.",BMW of Houston North
2014 Lexus GS 350 Base,"$17,995","102,227 mi.",R&T Expo
2013 Lexus GS 350 Base,"$17,299","98,208 mi.",Direct Car Company
